col1,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
391,150.3885501,2.2431756000000003,false,false,false,false
392,150.3936559,2.2771927000000005,false,false,false,false
393,150.3812977,2.2906718,false,false,false,false
394,150.379095,2.2933278,false,false,false,false
395,178.3669269,49.5301205,false,false,false,false
396,178.3622212,49.5305708,false,false,false,false
397,178.36479690000004,49.5308859,false,false,false,false
398,178.34579680000004,49.54578400000001,false,false,false,false
399,178.3044411,49.5401568,false,false,false,false
400,120.3142754,47.43899520000001,false,false,false,false
401,120.3124846,47.4426671,false,false,false,false
402,120.3262049,47.4681452,false,false,false,false
403,120.3230404,47.468555,false,false,false,false
404,120.337567,47.4692018,false,false,false,false
405,120.2772011,47.4738046,false,false,false,false
406,120.280304,47.4777132,false,false,false,false
407,215.1502697,53.1451292,false,false,false,false
408,215.1444947,53.1559376,false,false,false,false
409,215.1271877,53.2024245,false,false,false,false
410,215.1502179,53.1962297,false,false,false,false
411,110.4053023,-69.0047479,false,false,false,false
412,110.4206833,-68.9755481,false,false,false,false
413,198.9859525,42.1770657,false,false,false,false
414,198.980656,42.18434110000001,false,false,false,false
415,149.9112892,1.8987033,false,false,false,false
416,149.8871185,1.9084085,false,false,false,false
417,149.9299462,1.9092602,false,false,false,false
418,149.92472769999995,1.9169044,false,false,false,false
419,149.91275280000005,1.9233691,false,false,false,false
420,149.9314155,1.9328136,false,false,false,false
421,149.9315239,1.9433491000000005,false,false,false,false
422,149.8943831,1.9472768,false,false,false,false
423,149.92726509999997,1.938035,false,false,false,false
424,150.0028492,2.5282127999999995,false,false,false,false
425,150.03157190000005,2.5609483,false,false,false,false
426,150.02209309999995,2.5610585,false,false,false,false
427,150.00123119999995,2.5703719,false,false,false,false
428,150.01010060000004,2.5691112,false,false,false,false
429,150.03585800000005,2.5666342,false,false,false,false
430,150.01510369999997,2.5671887000000004,false,false,false,false
431,168.97838090000005,1.4749941999999998,false,false,false,false
432,150.234261,2.2660937000000003,false,false,false,false
433,150.2522014,2.3130040000000003,false,false,false,false
434,150.2648674,2.3098576,false,false,false,false
435,211.20098,54.4996337,false,false,false,false
436,211.2302108,54.5077824,false,false,false,false
437,211.2291324,54.5120174,false,false,false,false
438,211.1678878,54.51411410000001,false,false,false,false
439,211.2180738,54.5344795,false,false,false,false
440,214.6431119,52.8065793,false,false,false,false
441,214.6952691,52.82439960000001,false,false,false,false
442,214.69963,52.8421642,false,false,false,false
443,53.2251171,-27.9114868,false,false,false,false
444,53.1859947,-27.88019,false,false,false,false
445,149.52779099999995,2.1269453,false,false,false,false
446,149.4825773,2.1269933,false,false,false,false
447,149.52350090000004,2.1279967,false,false,false,false
448,149.4868715,2.1298865,false,false,false,false
449,149.486676,2.1393197,false,false,false,false
450,149.50286469999998,2.1583517000000003,false,false,false,false
451,149.5252135,2.1737026000000004,false,false,false,false
452,189.5663721,62.36404770000001,false,false,false,false
453,150.2917955,2.0431893,false,false,false,false
454,150.3309935,2.0470842,false,false,false,false
455,150.3329442,2.0515091,false,false,false,false
456,150.31472069999995,2.0664365,false,false,false,false
457,150.3099445,2.0762794,false,false,false,false
458,161.79630669999997,17.260341699999998,false,false,false,false
459,161.7920014,17.2702979,false,false,false,false
460,53.07051,-27.71798,false,false,false,false
461,53.0903077,-27.70684330000001,false,false,false,false
462,322.4564640000001,-7.7358518,false,false,false,false
463,149.8230649,1.6373456,false,false,false,false
464,149.8068198,1.6400359,false,false,false,false
465,149.81651090000005,1.6673101,false,false,false,false
466,149.8372158,1.6873546999999998,false,false,false,false
467,149.8165067,1.6896615,false,false,false,false
468,292.4678338,-17.663372100000004,false,false,false,false
469,215.10973450000003,53.0128047,false,false,false,false
470,215.1330802,53.0165111,false,false,false,false
471,215.1634763,53.02776410000001,false,false,false,false
472,215.1419768,53.0393241,false,false,false,false
473,215.122947,53.0506934,false,false,false,false
474,149.8694638,2.1436149,false,false,false,false
475,149.9184872,2.142892,false,false,false,false
476,149.891807,2.1468895,false,false,false,false
477,177.5231967,22.3701698,false,false,false,false
478,53.0876682,-27.78459710000001,false,false,false,false
479,53.0256225,-27.7517225,false,false,false,false
480,158.78852769999995,51.9137438,false,false,false,false
