col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
20366,6000297798181,316.5304126000001,-58.7341655,false,false,true,false
20367,6000297798917,316.504331,-58.7330055,true,false,false,false
20368,6000298721610,322.4203161000001,0.098337,false,true,false,false
20369,6000300107537,214.7084029,52.7149303,false,true,false,false
20370,6000300634182,247.760911,15.487705300000002,false,false,false,true
20371,6000300634338,247.787788,15.495257999999998,true,false,false,false
20372,6000300634512,247.7955812,15.5010019,false,false,false,true
20373,6000300760703,312.67003210000007,1.3847069,false,true,false,false
20374,6000300761134,312.6851415,1.401046,false,true,false,false
20375,6000301603373,149.96367719999995,2.0160582,true,false,false,false
20376,6000301738376,186.7581817,23.8314805,false,true,false,false
20377,6000301738520,186.7433663,23.8416832,false,false,true,false
20378,6000301738657,186.7699979,23.8485285,false,false,true,false
20379,6000301739158,186.756858,23.8412555,false,false,false,true
20380,6000301764431,53.0454506,-27.7897226,false,true,false,false
20381,6000302166226,210.06606230000003,14.4505692,false,false,true,false
20382,6000302166463,210.08826,14.463014499999998,false,true,false,false
20383,6000302166519,210.049932,14.4688397,false,false,true,false
20384,6000302166616,210.04997430000003,14.4702967,false,false,true,false
20385,6000302271984,168.9661226,1.4964436,false,false,false,true
20386,6000302545995,150.5500825,2.371829,false,true,false,false
20387,6000302546022,150.5471529,2.3737839,true,false,false,false
20388,6000302546244,150.555196,2.3839425,true,false,false,false
20389,6000302546489,150.55509730000003,2.3958126,false,true,false,false
20390,6000302546885,150.5497691,2.4095202,false,false,false,true
20391,6000302683618,334.43419910000006,0.8114781,false,true,false,false
20392,6000302822905,150.1057836,2.3966839,false,true,false,false
20393,6000303313614,53.0592825,-27.789330300000003,false,false,true,false
20394,6000303467980,64.0503545,-24.0727004,false,false,false,true
20395,6000304728626,214.9388024,52.9542696,false,false,false,true
20396,6000304728795,214.9316267,52.9635812,true,false,false,false
20397,6000305266143,330.3660852,0.1950227,true,false,false,false
20398,6000305300226,104.6290025,-55.924253,false,false,true,false
20399,6000305300779,104.6241365,-55.9328423,false,true,false,false
20400,6000305301885,104.6328137,-55.9456451,false,false,false,true
20401,6000305337132,53.0022548,-27.7260935,false,false,true,false
20402,6000306511142,355.3149355,0.0166522,false,false,false,true
20403,6000306746360,186.7624793,33.5487065,false,true,false,false
20404,6000307024667,150.4577326,2.4174512000000004,false,false,false,true
20405,6000307035504,170.0031358,-12.0786906,false,false,false,true
20406,6000308343894,215.037247,52.8700542,false,true,false,false
20407,6000308452038,214.7109819,52.7186713,true,false,false,false
20408,6000308500778,174.00501880000004,45.2880775,false,false,false,true
20409,6000309523095,255.2259867,64.2755827,true,false,false,false
20410,6000310119253,39.9922814,-1.5736703,false,true,false,false
20411,6000310661438,52.4385619,-2.2016368,true,false,false,false
20412,6000310782197,3.5784953,-30.3888378,false,false,false,true
20413,6000311192855,215.0528947,52.9703813,false,false,false,true
20414,6000311229954,150.087352,2.3099587,true,false,false,false
20415,6000311257205,150.1811071,2.5949622000000003,false,false,true,false
20416,6000311257352,150.20432549999995,2.6075151,false,false,true,false
20417,6000311676545,175.6265405,58.5380474,false,false,false,true
20418,6000311676832,175.6061625,58.5326323,false,false,false,true
20419,6000312283734,187.0013882,44.1776112,false,true,false,false
20420,6000312986449,124.8799993,70.69815729999998,false,false,false,true
20421,6000313158792,170.0803894,-12.0690203,false,false,false,true
20422,6000313159502,170.0468633,-12.0359278,false,false,true,false
20423,6000313282542,150.075367,2.32599,false,false,true,false
20424,6000313282851,150.09204599999995,2.3372681,true,false,false,false
20425,6000313619619,150.10751530000005,2.5574481,true,false,false,false
20426,6000313769917,9.2520552,9.1633746,false,true,false,false
20427,6000313899228,184.8129283,47.3354646,false,true,false,false
20428,6000315015069,150.5121265,1.9177755,false,false,true,false
20429,6000315015106,150.5102661,1.9201495,true,false,false,false
20430,6000315163580,215.9515138,24.092777,true,false,false,false
20431,6000315682757,34.5981224,-5.1546349000000005,false,true,false,false
20432,6000316328058,189.2024428,62.1945783,true,false,false,false
20433,6000317277669,34.3873839,-5.2078016,false,false,false,true
20434,6000317811602,3.4858565,-30.3910105,false,false,false,true
20435,6000317811626,3.4681929,-30.3626927,true,false,false,false
20436,6000317933683,260.0482314,35.5988068,true,false,false,false
20437,6000318201522,214.83365530000003,52.8256415,true,false,false,false
20438,6000318285437,277.7564508,62.2407966,true,false,false,false
20439,6000318285450,277.7776985,62.2417544,false,false,true,false
20440,6000318285921,277.7690549,62.2652604,false,false,true,false
20441,6000318350570,146.87824840000005,76.379173,false,false,true,false
20442,6000318350639,146.84817030000005,76.38159820000001,false,true,false,false
20443,6000320043373,322.4109475,0.1059018,false,false,false,true
