col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
4986,4000878723296,353.2762231000001,-10.7236301,false,true,false,false
4987,4000878723464,353.2864948,-10.7210887,true,false,false,false
4988,4000878796007,353.285559,-10.7184452,false,true,false,false
4989,4000878796541,353.2853218,-10.7120028,true,false,false,false
4990,4000878798733,353.2667396,-10.6854457,false,false,true,false
4991,4000878801980,240.5253273,42.8886435,false,false,true,false
4992,4000878802043,240.5189986,42.8908467,false,false,false,true
4993,4000878802246,240.588671,42.8978338,false,false,true,false
4994,4000878802261,240.58124,42.8979562,true,false,false,false
4995,4000878802331,240.5279138,42.90064,false,false,false,true
4996,4000878802340,240.5277962,42.9005579,false,false,false,true
4997,4000878802367,240.5356999,42.90251170000001,false,false,false,true
4998,4000878802398,240.56421180000004,42.9026209,false,false,false,true
4999,4000878802402,240.5672165,42.9025773,true,false,false,false
5000,4000878802420,240.5552902,42.9039369,false,false,false,true
5001,4000878802461,240.5458213,42.90497620000001,false,true,false,false
5002,4000878802522,240.53861380000004,42.9057294,false,false,true,false
5003,4000878802580,240.5808232,42.907277,false,false,true,false
5004,4000878802590,240.5301735,42.9073064,false,false,false,true
5005,4000878802672,240.5218613,42.9101102,false,false,false,true
5006,4000878802698,240.5347039,42.9102653,false,true,false,false
5007,4000878802831,240.5208991,42.9122812,false,true,false,false
5008,4000878803126,240.5540087,42.9163033,false,false,false,true
5009,4000878803162,240.5173645,42.9165032,false,false,false,true
5010,4000878803546,240.5815888,42.92235720000001,false,false,false,true
5011,4000878803633,240.5662858,42.9237292,false,true,false,false
5012,4000878803900,240.5614805,42.9382975,false,true,false,false
5013,4000878803908,240.5504284,42.9383996,true,false,false,false
5014,4000878803944,240.507792,42.9354511,false,true,false,false
5015,4000878803962,240.5309999,42.9340255,false,false,false,true
5016,4000878803968,240.5190749,42.9360594,false,false,true,false
5017,4000878804019,240.5731459,42.9340454,false,true,false,false
5018,4000878804064,240.5794562,42.9313825,false,true,false,false
5019,4000878804179,240.5166793,42.9333602,false,false,false,true
5020,4000878804196,240.5678716,42.9344079,false,false,false,true
5021,4000878942785,91.9021083,24.1089198,true,false,false,false
5022,4000878944413,91.9304362,24.113897,false,true,false,false
5023,4000879306893,189.0309232,62.09176970000001,false,false,true,false
5024,4000879306925,189.0405602,62.0960691,false,false,true,false
5025,4000879306953,189.0276339,62.10056820000001,false,false,false,true
5026,4000879307184,189.0653329,62.117075,false,false,false,true
5027,4000879307320,188.9836796,62.12494820000001,false,false,false,true
5028,4000879307353,188.9783574,62.12739499999999,false,false,false,true
5029,4000879520430,41.6631384,-8.464297199999999,false,false,false,true
5030,4000879520451,41.65925900000001,-8.460505300000001,false,false,false,true
5031,4000879520462,41.6597029,-8.4599673,false,false,false,true
5032,4000879520474,41.6620347,-8.4576877,false,false,false,true
5033,4000879520598,41.67176660000001,-8.4429054,false,false,false,true
5034,4000879712057,5.604736,0.311608,true,false,false,false
5035,4000879712410,5.6400507000000015,0.3155433,false,false,true,false
5036,4000879715046,5.604947599999999,0.3428353,false,true,false,false
5037,4000879715381,5.5968148,0.3373158,false,false,false,true
5038,4000879715476,5.6117212,0.3376431,false,false,true,false
5039,4000879716176,5.621156099999999,0.2983027,false,false,true,false
5040,4000879716421,5.5986115,0.300193,false,false,false,true
5041,4000879716785,5.6218626,0.3062652999999999,false,false,false,true
5042,4000879866401,89.9573406,-52.83971139999999,false,false,true,false
5043,4000879884557,202.7995061,-41.22080820000001,true,false,false,false
5044,4000879884824,202.7578224,-41.2106894,false,true,false,false
5045,4000879884914,202.7623754,-41.20796470000001,false,true,false,false
5046,4000879885034,202.7768261,-41.2034753,false,false,false,true
5047,4000879885342,202.8190662,-41.194565,false,false,false,true
5048,4000879885594,202.7634468,-41.1867922,false,false,false,true
5049,4000879885627,202.78465,-41.18610220000001,false,false,true,false
5050,4000879885649,202.8104737,-41.1851235,false,false,false,true
5051,4000879885792,202.7806382,-41.1734185,true,false,false,false
5052,4000879885793,202.7833611,-41.1745576,false,true,false,false
5053,4000879885808,202.8203083,-41.1759215,false,false,true,false
5054,4000879885862,202.8201033,-41.1755461,false,false,true,false
5055,4000879955881,133.1746768,33.4479562,false,false,true,false
5056,4000879968301,12.2642258,42.74704620000001,false,false,false,true
5057,4000879970205,12.3010239,42.75574520000001,true,false,false,false
5058,4000879974788,195.1410662,28.0543634,false,true,false,false
5059,4000879974841,195.124986,28.0559347,false,true,false,false
5060,4000879974971,195.1517275,28.0622338,false,false,true,false
5061,4000879975217,195.115827,28.0755386,false,false,true,false
5062,4000879975508,195.118822,28.0938862,false,false,false,true
5063,4000879975699,195.1563763,28.0993777,false,false,false,true
5064,4000880207735,150.0906289,1.7253330000000002,false,false,false,true
5065,4000880207936,150.0852951,1.7346017,false,false,true,false
5066,4000880212031,317.9004151000001,58.40724270000001,false,true,false,false
