col1,SourceID,RA,Dec,s1,s2,s3,s4
9228,4001025575189,62.1875951,-24.2863398,false,false,false,true
9229,4001025575258,62.222374,-24.2793062,false,false,false,true
9230,4001025575375,62.187803,-24.2853981,false,true,false,false
9231,4001025807554,150.1262251,1.643544,false,false,false,true
9232,4001025808225,150.1328552,1.6741945,false,false,false,true
9233,4001025808458,150.14220509999996,1.6867128,false,false,false,true
9234,4001025809529,8.046753599999999,18.0978354,false,false,false,true
9235,4001025809766,8.0257152,18.113326500000003,true,false,false,false
9236,4001025809805,8.0389555,18.1128433,true,false,false,false
9237,4001025810651,8.0694604,18.146659,true,false,false,false
9238,4001025918019,155.4208717,18.082492,false,true,false,false
9239,4001025921425,155.45696909999995,18.1191049,false,false,true,false
9240,4001025922348,217.3484935,33.7834146,false,false,false,true
9241,4001025922422,217.3488423,33.7859499,false,false,false,true
9242,4001025922581,217.3464903,33.7910876,false,true,false,false
9243,4001025923292,217.3665384,33.8056485,false,false,true,false
9244,4001025923297,217.3626958,33.806878999999995,false,false,false,true
9245,4001025923789,217.3438405,33.8145768,false,false,true,false
9246,4001025924359,217.348233,33.827276399999995,false,false,false,true
9247,4001025924602,217.34441260000003,33.8358558,true,false,false,false
9248,4001025924768,76.6868148,-61.1808228,false,false,false,true
9249,4001025924973,76.6233447,-61.1707753,false,false,true,false
9250,4001025925211,76.6802854,-61.1629394,true,false,false,false
9251,4001025925291,76.5847896,-61.1605649,true,false,false,false
9252,4001025925337,76.6686234,-61.1584738,true,false,false,false
9253,4001025925348,76.6681619,-61.157861200000006,false,false,false,false
9254,4001025925940,76.6596882,-61.1388968,true,false,false,false
9255,4001025926089,76.6340287,-61.13320160000001,false,false,true,false
9256,4001025992457,210.0088759,62.52035720000001,false,true,false,false
9257,4001025992509,209.9137378,62.52318879999999,false,true,false,false
9258,4001025992549,209.9515376,62.5251499,true,false,false,false
9259,4001025993439,209.9595839,62.5438795,false,false,false,true
9260,4001025993445,209.9516815,62.5403672,false,false,false,true
9261,4001026059719,2.9274843,-15.4147111,false,false,false,true
9262,4001026059809,2.951559,-15.4122364,true,false,false,false
9263,4001026060008,2.9466259,-15.4020563,false,true,false,false
9264,4001026060138,2.9010625,-15.3967555,false,false,false,true
9265,4001026060433,2.940517,-15.3834344,false,false,true,false
9266,4001026060467,2.9133852000000005,-15.381377300000002,false,false,false,true
9267,4001026060543,2.9402128,-15.3767995,true,false,false,false
9268,4001026071397,150.04065400000005,2.1446205000000003,false,false,false,true
9269,4001026072107,150.0432855,2.1726853,false,true,false,false
9270,4001026219371,211.2833319,53.6928075,true,false,false,false
9271,4001026263072,211.3077682,53.6590582,false,false,false,true
9272,4001026353022,150.1429437,2.3677045,false,true,false,false
9273,4001026366224,173.3846468,3.44672,false,false,true,false
9274,4001026366453,173.3572393,3.4502057999999995,false,false,false,true
9275,4001026367230,173.3443461,3.4591281000000005,false,false,true,false
9276,4001026809141,170.04239219999997,-12.0860766,false,true,false,false
9277,4001026809618,170.06044409999996,-12.0724541,true,false,false,false
9278,4001026809711,170.0595699,-12.0708983,true,false,false,false
9279,4001026809819,170.0601656,-12.066135699999998,false,false,false,true
9280,4001026810223,170.07655559999995,-12.0536761,true,false,false,false
9281,4001026810292,170.0520995,-12.0443916,false,true,false,false
9282,4001027057352,187.94556530000003,12.2612092,false,false,true,false
9283,4001027058059,187.989567,12.2978309,true,false,false,false
9284,4001027096312,149.9266489,2.3766006,false,false,true,false
9285,4001027096357,149.9147345,2.3801665,true,false,false,false
9286,4001027096360,149.912709,2.3805138,true,false,false,false
9287,4001027096481,149.907678,2.384089,true,false,false,false
9288,4001027096573,149.95226780000004,2.3867837000000005,false,true,false,false
9289,4001027096790,149.94153490000005,2.3956969,false,false,false,true
9290,4001027096947,149.9307309,2.3981568,false,false,true,false
9291,4001027297802,214.6889143,52.7235562,true,false,false,false
9292,4001027298050,214.7362227,52.73144350000001,false,true,false,false
9293,4001027712261,120.5290341,50.6481864,false,false,true,false
9294,4001027728029,221.1286102,-0.2531087999999999,true,false,false,false
9295,4001027728047,221.1270884,-0.252929,false,true,false,false
9296,4001027728058,221.1748399,-0.2523104,false,false,true,false
9297,4001027728062,221.1383882,-0.2517147999999999,true,false,false,false
9298,4001027728076,221.1548032,-0.2515522,false,true,false,false
9299,4001027728077,221.1383047,-0.2515063,true,false,false,false
9300,4001027728080,221.1548403,-0.2514576,false,true,false,false
9301,4001027728084,221.154553,-0.2511419,false,false,false,false
9302,4001027728155,221.1456084,-0.2471989,true,false,false,false
9303,4001027728249,221.1270465,-0.2425953999999999,true,false,false,false
9304,4001027728328,221.1290609,-0.2387801,false,true,false,false
9305,4001027728352,221.1318217,-0.2373596,true,false,false,false
9306,4001027728354,221.1785172,-0.2372467999999999,false,false,true,false
9307,4001027728391,221.17990130000004,-0.2352717999999999,true,false,false,false
9308,4001027728397,221.180069,-0.2350022999999999,true,false,false,false
9309,4001027728484,221.13252090000003,-0.2309382999999999,false,true,false,false
9310,4001027728546,221.1648297,-0.2274366,true,false,false,false
9311,4001027728584,221.1498539,-0.2243633,false,true,false,false
9312,4001027728693,221.1818462,-0.2201603,false,false,false,true
