col1,SourceID,RA_1a,Dec_1a,isStageOne,isStageTwo,isStageThree,isStageFour,ra_1,dec_1,type_1,zpdf_1,zpdf_l68_1,zpdf_h68_1,zminchi2_1,chi2_best_1,m_i_1,m_z_1,m_k_1,mass_med_1,mass_med_min68_1,mass_med_max68_1,mass_best_1,sfr_med_1,sfr_med_min68_1,sfr_med_max68_1,sfr_best_1,Separation_1,ra_2,dec_2,type_2,zpdf_2,zpdf_l68_2,zpdf_h68_2,zminchi2_2,chi2_best_2,m_i_2,m_z_2,m_k_2,mass_med_2,mass_med_min68_2,mass_med_max68_2,mass_best_2,sfr_med_2,sfr_med_min68_2,sfr_med_max68_2,sfr_best_2,Separation_2
11051,4001083132291,150.25380890000002,2.6271117000000004,false,false,false,true,150.252391,2.628236,0,4.787,4.03,5.334,4.856,0.82062857143,-17.49,-17.554,-17.345,9.252,8.564,10.091,7.608,0.943,0.201,1.777,0.271,6.5101949891249795,150.251768,2.628258,0,4.856,3.685,5.669,5.928,1.315485,-22.521,-22.679,-22.751,10.579,10.241,10.95,10.457,2.073,1.873,2.443,-2.275,8.420092802124543
11052,4001083132537,150.2555276,2.6349322,false,false,false,true,150.254566,2.636079,0,2.462,0.724,4.971,0.882,0.1637575,-17.756,-17.82,-17.612,8.109,7.521,8.669,6.419,-0.369,-0.996,0.179,-0.918,5.385423988058216,150.254065,2.636284,0,5.063,0.621,5.55,5.484,0.38732958333,-21.332,-21.396,-21.188,9.302,8.851,9.744,8.197,1.119,0.693,1.398,0.86,7.165753328646833
11053,4001083132596,150.2640623,2.6324782000000004,false,false,false,true,150.264264,2.632468,0,0.944,0.933,0.957,0.942,2.3538448276,-21.547,-21.749,-22.339,9.661,9.618,9.698,9.659,1.517,1.435,1.588,1.535,0.7262825791741193,150.265028,2.632612,0,1.221,1.163,1.252,1.215,0.71905925926,-21.5,-21.785,-21.86,10.023,9.972,10.074,10.081,0.954,0.858,1.054,0.961,3.506096100573905
11067,4001084101727,150.07226740000004,2.4113498,true,false,false,false,150.07242,2.411412,0,0.472,0.464,0.479,0.474,4.6119642857,-22.137,-22.421,-22.739,10.837,10.803,10.878,10.848,-0.227,-0.295,-0.144,-0.252,0.5927919757039352,150.071616,2.411128,0,0.845,0.812,0.861,0.851,2.3803071429,-21.154,-21.456,-22.204,10.254,10.198,10.317,10.206,1.019,0.776,1.154,1.073,2.475287696838897
11068,4001084104312,150.1396177,2.5972783,false,false,true,false,150.139536,2.596962,0,0.712,0.7,0.742,0.705,3.0486724138,-21.814,-21.813,-22.016,9.829,9.735,9.909,9.928,1.284,1.159,1.732,1.233,1.1759766568140992,150.140383,2.597762,0,0.167,0.102,0.351,0.084,0.38096076923,-13.212,-13.387,-13.373,7.025,7.008,7.129,6.83,-2.484,-2.945,-2.051,-3.364,3.256849895892997
11069,4001084104785,150.1626552,2.6086571,false,true,false,false,150.162554,2.608703,0,0.857,0.837,0.914,0.855,0.76230714286,-20.386,-20.69,-20.766,9.586,9.533,9.639,9.632,0.376,0.253,0.635,0.275,0.399697841565926,150.161769,2.608838,0,0.453,0.285,0.902,0.274,0.50457307692,-16.599,-16.334,-16.655,7.868,7.595,8.176,7.426,-0.753,-1.278,-0.401,0.08,3.2528709749150897
11070,4001084105393,150.1281979,2.6239485,false,false,false,true,150.128058,2.624017,0,0.684,0.667,0.698,0.671,1.4156321429,-20.694,-20.737,-21.112,9.633,9.565,9.694,9.669,0.672,0.553,0.976,0.613,0.5602973984433842,150.127721,2.624438,0,1.809,1.718,1.936,1.761,1.7276892857,-20.276,-20.527,-21.111,9.37,9.283,9.521,9.349,1.203,1.104,1.294,1.204,2.4590058257953085
11097,4001084651443,149.6587009,2.2640825,false,false,false,true,149.658584,2.264105,0,0.67,0.663,0.677,0.67,2.2361678571,-22.594,-23.028,-23.672,11.1,11.066,11.134,11.092,0.6,0.532,0.668,0.617,0.42824163394957704,149.657927,2.26417,0,2.791,2.727,2.845,2.792,0.78291111111,-21.093,-21.229,-21.445,9.315,9.238,9.404,9.315,1.177,1.107,1.259,1.191,2.8016297766832547
11098,4001084651800,149.6238511,2.2767787,false,true,false,false,149.623738,2.276822,0,0.854,0.833,0.879,0.855,2.6132724138,-21.494,-21.474,-22.074,9.658,9.614,9.696,9.636,1.507,1.434,1.575,1.496,0.43567900878679267,149.623632,2.277294,0,0.34,0.333,0.347,0.339,7.2034827586,-19.827,-19.987,-19.191,9.3,9.266,9.334,9.323,-0.4,-0.468,-0.332,-0.35,2.0155599827011965
11099,4001084651841,149.62307890000002,2.2780175,false,true,false,false,149.622972,2.278007,0,0.497,0.452,0.633,0.484,1.3511038462,-17.777,-17.938,-17.656,8.242,8.053,8.385,8.299,-0.513,-0.783,-0.213,-0.61,0.3863892791635324,149.623151,2.277516,0,0.825,0.811,0.836,0.827,3.2591296296,-21.399,-21.362,-21.456,9.599,9.565,9.635,9.599,1.334,1.249,1.406,1.364,1.8239336979073215
