"col1","SourceID","RA_1a","Dec_1a","isStageOne","isStageTwo","isStageThree","isStageFour","ra_1","dec_1","type_1","zpdf_1","zpdf_l68_1","zpdf_h68_1","zminchi2_1","chi2_best_1","m_i_1","m_z_1","m_k_1","mass_med_1","mass_med_min68_1","mass_med_max68_1","mass_best_1","sfr_med_1","sfr_med_min68_1","sfr_med_max68_1","sfr_best_1","Separation_1","ra_2","dec_2","type_2","zpdf_2","zpdf_l68_2","zpdf_h68_2","zminchi2_2","chi2_best_2","m_i_2","m_z_2","m_k_2","mass_med_2","mass_med_min68_2","mass_med_max68_2","mass_best_2","sfr_med_2","sfr_med_min68_2","sfr_med_max68_2","sfr_best_2","Separation_2"
13229,4001162941211,149.53151200000005,2.5026533,0,1,0,0,149.532173,2.502241,0,0.515,0.497,0.531,0.527,2.0648206897,-21.605,-21.811,-21.884,10.037,9.981,10.08,10.04,1.026,0.939,1.24,1.019,2.802639547776614,149.532173,2.502241,0,0.515,0.497,0.531,0.527,2.0648206897,-21.605,-21.811,-21.884,10.037,9.981,10.08,10.04,1.026,0.939,1.24,1.019,2.802639547776614
13230,4001162941214,149.53137180000004,2.5032925,0,0,0,0,149.531465,2.503414,0,0.487,0.477,0.498,0.485,1.5287689655,-21.542,-21.71,-21.7,9.945,9.909,9.985,9.971,0.915,0.836,0.994,0.908,0.5510695666530696,149.532054,2.50448,0,0.464,0.442,0.483,0.462,0.70961481481,-18.599,-18.787,-18.753,8.93,8.825,9.047,8.927,-0.785,-0.936,-0.487,-0.919,4.929062430161999
13231,4001162941837,149.51883909999995,2.5278568,0,0,1,0,149.517836,2.526954,0,2.31,2.119,2.503,2.175,0.55322857143,-22.731,-22.95,-23.515,10.704,10.578,10.786,10.796,1.656,1.501,1.961,1.212,4.855732537351184,149.517836,2.526954,0,2.31,2.119,2.503,2.175,0.55322857143,-22.731,-22.95,-23.515,10.704,10.578,10.786,10.796,1.656,1.501,1.961,1.212,4.855732537351184
13232,4001162942045,149.5192264,2.5364468,0,0,0,1,149.519343,2.536583,0,1.144,1.132,1.156,1.144,3.535137931,-23.091,-23.278,-23.536,10.272,10.229,10.314,10.242,2.234,2.148,2.306,2.241,0.6451876142057307,,,,,,,,,,,,,,,,,,,,
13233,4001162942157,149.5369122,2.5395221,1,0,0,0,149.53702,2.539659,0,0.447,0.439,0.456,0.446,3.4385785714,-21.201,-21.469,-21.994,10.245,10.202,10.286,10.297,0.69,0.62,0.765,0.746,0.6270579396023359,149.536554,2.538321,1,0.421,0.413,0.428,0.422,24.843769231,-20.126,-20.246,-19.633,9.836,9.599,9.879,9.846,-1.402,-1.483,-1.327,-1.442,4.511787766605069
13234,4001162942169,149.5370032,2.5399512000000004,0,0,0,0,149.537203,2.541009,0,3.44,0.349,3.595,3.433,1.1133730769,-21.004,-21.127,-21.095,8.862,8.702,9.054,8.595,0.755,0.62,1.167,1.253,3.875283283536809,149.537203,2.541009,0,3.44,0.349,3.595,3.433,1.1133730769,-21.004,-21.127,-21.095,8.862,8.702,9.054,8.595,0.755,0.62,1.167,1.253,3.875283283536809
13235,4001162942260,149.5106966,2.5558736,0,0,1,0,149.509247,2.555595,0,1.224,1.154,1.251,1.248,0.77194285714,-21.245,-21.202,-21.444,9.593,9.522,9.682,9.651,1.106,1.013,1.195,1.115,5.308968554552634,149.508266,2.55647,0,0.746,0.733,0.761,0.744,1.0833071429,-20.77,-20.715,-20.789,9.509,9.457,9.562,9.502,0.656,0.467,0.802,0.756,9.001265924338469
13236,4001162942335,149.552879,2.5469767000000005,0,1,0,0,149.552991,2.547019,0,0.33,0.323,0.337,0.332,4.7226666667,-19.018,-19.123,-19.528,8.914,8.872,8.949,8.916,-0.656,-0.754,-0.506,-0.653,0.4306255830027323,149.552655,2.547827,0,2.466,2.186,2.711,2.462,0.62172307692,-20.013,-20.152,-20.358,8.913,8.743,9.087,8.757,0.781,0.438,0.879,0.834,3.165313118227044
13237,4001162942347,149.5079822,2.5442720000000003,0,1,0,0,149.508548,2.543573,0,0.912,0.899,0.923,0.917,0.92146428571,-20.299,-20.48,-20.741,9.484,9.384,9.539,9.479,0.649,0.542,0.944,0.58,3.2361977065863603,149.508548,2.543573,0,0.912,0.899,0.923,0.917,0.92146428571,-20.299,-20.48,-20.741,9.484,9.384,9.539,9.479,0.649,0.542,0.944,0.58,3.2361977065863603
13238,4001162942480,149.5109292,2.5556292000000003,0,0,1,0,149.510976,2.555749,0,1.095,1.085,1.105,1.094,2.9717793103,-22.822,-23.105,-23.575,10.462,10.414,10.503,10.485,1.929,1.843,2.03,1.942,0.46295951204945074,149.510286,2.55488,0,3.612,3.327,3.878,3.409,1.2661727273,-22.137,-22.442,-22.53,10.34,10.251,10.416,10.308,1.424,1.209,1.701,-0.022,3.5532284238527345
13239,4001162972725,150.6622449,2.5257975,0,0,1,0,150.662038,2.525404,0,0.671,0.66,0.69,0.665,3.032637931,-21.704,-21.977,-22.59,10.372,10.318,10.43,10.354,1.092,0.995,1.333,1.053,1.600145276206393,150.662038,2.525404,0,0.671,0.66,0.69,0.665,3.032637931,-21.704,-21.977,-22.59,10.372,10.318,10.43,10.354,1.092,0.995,1.333,1.053,1.600145276206393
13240,4001162973329,150.6377414,2.5462457,0,0,0,1,150.637693,2.546404,0,0.803,0.791,0.827,0.797,1.8194793103,-22.243,-22.287,-22.441,10.244,10.209,10.282,10.223,1.302,1.232,1.372,1.253,0.5958715207145897,,,,,,,,,,,,,,,,,,,,
13241,4001162973332,150.6458626,2.5459812000000004,0,0,0,1,150.645687,2.545829,0,0.646,0.638,0.656,0.648,5.6405714286,-21.377,-21.482,-21.581,10.251,10.215,10.286,10.287,0.4,0.332,0.468,0.424,0.8360945410733103,,,,,,,,,,,,,,,,,,,,
13242,4001162973385,150.6603001,2.5477437000000003,0,0,0,1,150.660192,2.548126,0,0.377,0.37,0.386,0.376,3.0087172414,-21.783,-22.033,-22.27,10.456,10.391,10.501,10.547,0.735,0.647,0.818,0.791,1.430137352728983,,,,,,,,,,,,,,,,,,,,
13327,4001165978477,149.58001389999995,2.3872847000000004,1,0,0,0,149.579944,2.387413,0,0.857,0.848,0.866,0.856,2.7270896552,-22.675,-22.939,-23.429,10.419,10.347,10.481,10.35,1.882,1.763,2.197,2.16,0.5258763638083069,149.579007,2.388068,0,0.834,0.813,0.857,0.834,7.8525555556,-19.997,-20.197,-19.119,8.905,8.867,8.942,8.904,-0.509,-0.577,-0.435,-0.479,4.590030843270776
13328,4001165978485,149.5800503,2.386902,0,0,0,0,149.583608,2.386945,0,0.983,0.964,0.998,0.988,2.9801740741,-20.81,-20.889,-20.868,9.359,9.288,9.477,9.334,0.924,0.657,1.031,1.006,12.797543796202397,149.583608,2.386945,0,0.983,0.964,0.998,0.988,2.9801740741,-20.81,-20.889,-20.868,9.359,9.288,9.477,9.334,0.924,0.657,1.031,1.006,12.797543796202397
13329,4001165978601,149.54783419999995,2.3918179,0,1,0,0,149.547743,2.391965,0,0.766,0.758,0.775,0.766,1.5239407407,-20.694,-20.585,-20.708,9.282,9.239,9.33,9.287,0.946,0.858,1.031,0.959,0.6229286202257285,149.548026,2.391306,0,1.701,1.545,2.092,1.671,0.70953846154,-19.65,-19.728,-19.828,8.897,8.74,9.02,8.994,0.371,0.25,0.685,-0.218,1.9677377173598074
13330,4001165979118,149.5618574,2.4110456,0,0,1,0,149.562738,2.410795,0,1.4,1.35,1.444,1.429,1.3331107143,-22.217,-22.484,-23.365,10.427,10.347,10.539,10.411,1.917,1.699,2.046,1.924,3.293330109893746,149.562738,2.410795,0,1.4,1.35,1.444,1.429,1.3331107143,-22.217,-22.484,-23.365,10.427,10.347,10.539,10.411,1.917,1.699,2.046,1.924,3.293330109893746
13331,4001165979290,149.54369340000005,2.4187366000000003,0,1,0,0,149.543713,2.418782,1,0.693,0.684,0.7,0.694,18.248321429,-22.524,-22.503,-22.012,10.398,10.364,10.433,10.351,-2.305,-2.373,-2.234,-2.38,0.17799572950250336,149.544371,2.418562,0,0.451,0.423,0.504,0.437,1.1106413793,-18.613,-18.633,-18.773,9.114,8.921,9.172,9.102,-1.307,-1.468,-1.144,-1.269,2.5169361541427198
